locus_tag	ftype	length_bp	gene	EC_number	COG	product
target_00089	CDS	516				hypothetical protein
target_00090	gene	2145	gyrB1			
target_00090	CDS	2145	gyrB1	5.6.2.2		DNA gyrase subunit B
target_00091	gene	2517	gyrA1			
target_00091	CDS	2517	gyrA1	5.6.2.2		DNA gyrase subunit A
target_00092	gene	915				
target_00092	CDS	915				putative protein
target_00093	gene	75				
target_00093	tRNA	75				tRNA-Ile(gat)
target_00094	gene	74				
target_00094	tRNA	74				tRNA-Ala(tgc)
target_00095	gene	108				
target_00095	CDS	108				hypothetical protein
target_00096	gene	138				
target_00096	CDS	138				hypothetical protein
target_00097	gene	438	cwsA			
target_00097	CDS	438	cwsA			Cell wall synthesis protein CwsA
target_00098	gene	549	ppiA			
target_00098	CDS	549	ppiA	5.2.1.8	COG0652	Peptidyl-prolyl cis-trans isomerase A
target_00099	gene	153				
target_00099	CDS	153				hypothetical protein
target_00100	gene	360				
target_00100	CDS	360				hypothetical protein
target_00101	gene	282	crgA			
target_00101	CDS	282	crgA			Cell division protein CrgA
target_00102	gene	744				
target_00102	CDS	744				hypothetical protein
target_00103	gene	699	trpG			
target_00103	CDS	699	trpG	4.1.3.27	COG0512	Anthranilate synthase component 2
target_00104	gene	1881	pknB			
target_00104	CDS	1881	pknB	2.7.11.1	COG0515	Serine/threonine-protein kinase PknB
target_00105	gene	1296	pknA			
target_00105	CDS	1296	pknA	2.7.11.1	COG0515	Serine/threonine-protein kinase PknA
target_00106	gene	1476	pbpA			
target_00106	CDS	1476	pbpA		COG0768	Penicillin-binding protein A
target_00107	gene	1410	rodA			
target_00107	CDS	1410	rodA		COG0772	putative FtsW-like protein
target_00108	gene	1536	pstP			
target_00108	CDS	1536	pstP	3.1.3.16	COG0631	PP2C-family Ser/Thr phosphatase
target_00109	gene	468	fhaB			
target_00109	CDS	468	fhaB		COG1716	FHA domain-containing protein FhaB
target_00110	gene	1584	fhaA			
target_00110	CDS	1584	fhaA		COG1716	FHA domain-containing protein FhaA
target_00111	gene	85				
target_00111	tRNA	85				tRNA-Leu(cag)
target_00112	gene	270				
target_00112	CDS	270				hypothetical protein
target_00113	gene	969	IMPDH			
target_00113	CDS	969	IMPDH	1.1.1.205		Inosine-5'-monophosphate dehydrogenase
target_00114	gene	420	whiB5			
target_00114	CDS	420	whiB5			Transcriptional regulator WhiB5
target_00115	gene	771				
target_00115	CDS	771			COG1396	putative HTH-type transcriptional regulator
target_00116	gene	846				
target_00116	CDS	846				hypothetical protein
target_00117	gene	363				
target_00117	CDS	363				putative protein
target_00118	gene	1347				
target_00118	CDS	1347				hypothetical protein
target_00119	gene	318				
target_00119	CDS	318				hypothetical protein
target_00120	gene	306				
target_00120	CDS	306				putative protein
target_00121	gene	144				
target_00121	CDS	144				putative proteinA
target_00122	gene	876				
target_00122	CDS	876				hypothetical protein
target_00123	gene	330				
target_00123	CDS	330				putative protein
target_00124	gene	2316	bioF2			
target_00124	CDS	2316	bioF2	2.3.1.47	COG0156	Putative 8-amino-7-oxononanoate synthase 2
target_00125	gene	264	acpP			
target_00125	CDS	264	acpP			Acyl carrier protein
target_00126	gene	396				
target_00126	CDS	396			COG3631	putative protein
target_00127	gene	1689	menE_1			
target_00127	CDS	1689	menE_1	6.2.1.26		2-succinylbenzoate--CoA ligase
target_00128	gene	774				
target_00128	CDS	774				putative protein
target_00129	gene	1311				
target_00129	CDS	1311			COG0477	putative MFS-type transporter
target_00130	gene	633				
target_00130	CDS	633				hypothetical protein
target_00131	gene	348				
target_00131	CDS	348				hypothetical protein
target_00132	gene	933				
target_00132	CDS	933				Proline-rich 28 kDa antigen
target_00133	gene	2877	leuS			
target_00133	CDS	2877	leuS	6.1.1.4	COG0495	Leucine--tRNA ligase
target_00134	gene	627				
target_00134	CDS	627				hypothetical protein
target_00135	gene	735				
target_00135	CDS	735			COG1802	putative HTH-type transcriptional regulator
target_00136	gene	795	rutA			
target_00136	CDS	795	rutA	1.14.99.46		Pyrimidine monooxygenase RutA
target_00137	gene	744				
target_00137	CDS	744		3.5.1.29		2-(acetamidomethylene)succinate hydrolase
target_00138	gene	1104	ino1			
target_00138	CDS	1104	ino1	5.5.1.4	COG1260	Inositol-3-phosphate synthase
target_00139	gene	543				
target_00139	CDS	543				hypothetical protein
target_00140	gene	870				
target_00140	CDS	870				putative protein
target_00141	gene	414				
target_00141	CDS	414				putative protein
target_00142	gene	2466	ponA1			
target_00142	CDS	2466	ponA1		COG0744	Penicillin-binding protein 1A
target_00143	gene	1683				
target_00143	CDS	1683				hypothetical protein
target_00144	gene	639	inhA_1			
target_00144	CDS	639	inhA_1	4.2.1.103		Isonitrile hydratase
target_00145	gene	291	rpsF			
target_00145	CDS	291	rpsF		COG0360	30S ribosomal protein S6
target_00146	gene	495	ssb			
target_00146	CDS	495	ssb		COG0629	Single-stranded DNA-binding protein
target_00147	gene	255	rpsR1_1			
target_00147	CDS	255	rpsR1_1		COG0238	30S ribosomal protein S18 1
target_00148	gene	459	rplI			
target_00148	CDS	459	rplI		COG0359	50S ribosomal protein L9
target_00149	gene	522				
target_00149	CDS	522				hypothetical protein
target_00150	gene	2625	dnaB			
target_00150	CDS	2625	dnaB	3.6.4.12	COG0305	Replicative DNA helicase
target_00151	gene	693				
target_00151	CDS	693				hypothetical protein
target_00152	gene	1059				
target_00152	CDS	1059				hypothetical protein
target_00153	gene	654				
target_00153	CDS	654				hypothetical protein
target_00154	gene	924	cenA			
target_00154	CDS	924	cenA	3.2.1.4	COG5297	Endoglucanase A
target_00155	gene	1440	yvdP			
target_00155	CDS	1440	yvdP	1.21.-.-	COG0277	putative FAD-linked oxidoreductase YvdP
target_00156	gene	156				
target_00156	CDS	156				hypothetical protein
target_00157	gene	2940				
target_00157	CDS	2940				hypothetical protein
target_00158	gene	240				
target_00158	CDS	240				hypothetical protein
target_00159	gene	402	vapC9_1			
target_00159	CDS	402	vapC9_1	3.1.-.-	COG4113	Ribonuclease VapC9
target_00160	gene	2238	icd2			
target_00160	CDS	2238	icd2	1.1.1.42		Isocitrate dehydrogenase [NADP] 2
target_00161	gene	570				
target_00161	CDS	570				hypothetical protein
target_00162	gene	912				
target_00162	CDS	912				hypothetical protein
target_00163	gene	1386	sdaA			
target_00163	CDS	1386	sdaA	4.3.1.17	COG1760	L-serine dehydratase
target_00164	gene	1278	glyA2			
target_00164	CDS	1278	glyA2	2.1.2.1	COG0112	Serine hydroxymethyltransferase 2
target_00165	gene	708				
target_00165	CDS	708				hypothetical protein
target_00166	gene	1050				
target_00166	CDS	1050			COG0577	putative ABC transporter permease
target_00167	gene	993				
target_00167	CDS	993			COG0664	putative ABC transporter ATP-binding protein
target_00168	gene	1236	hutI_1			
target_00168	CDS	1236	hutI_1	3.5.2.7		Imidazolonepropionase
target_00169	gene	1173	metC			
target_00169	CDS	1173	metC	4.4.1.13	COG1168	Cystathionine beta-lyase
target_00170	gene	390				
target_00170	CDS	390				hypothetical protein
target_00171	gene	831	oleB			
target_00171	CDS	831	oleB	4.1.1.114	COG0596	Cis-3-alkyl-4-alkyloxetan-2-one decarboxylase
target_00172	gene	606	tetC			
target_00172	CDS	606	tetC			Transposon Tn10 TetC protein
target_00173	gene	594				
target_00173	CDS	594				hypothetical protein
target_00174	gene	207				
target_00174	CDS	207				hypothetical protein
target_00175	gene	822				
target_00175	CDS	822				Dormancy associated translation inhibitor
target_00176	gene	459				
target_00176	CDS	459				putative protein
target_00177	gene	345				
target_00177	CDS	345			COG0640	putative HTH-type transcriptional regulator
target_00178	gene	480	hycG			
target_00178	CDS	480	hycG		COG3260	Formate hydrogenlyase subunit 7
target_00179	gene	1923	hyfB			
target_00179	CDS	1923	hyfB	1.-.-.-	COG0651	Hydrogenase-4 component B
target_00180	gene	951	hycD			
target_00180	CDS	951	hycD		COG0650	Formate hydrogenlyase subunit 4
target_00181	gene	663				
target_00181	CDS	663				hypothetical protein
target_00182	gene	1467	ndhB			
target_00182	CDS	1467	ndhB	7.1.1.-		NAD(P)H-quinone oxidoreductase subunit 2, chloroplastic
target_00183	gene	1476	hycE			
target_00183	CDS	1476	hycE		COG3261	Formate hydrogenlyase subunit 5
target_00184	gene	480				
target_00184	CDS	480				putative protein
target_00185	gene	594	COQ3_1			
target_00185	CDS	594	COQ3_1	2.1.1.222		Ubiquinone biosynthesis O-methyltransferase, mitochondrial
target_00186	gene	771				
target_00186	CDS	771			COG3305	putative protein
target_00187	gene	195				
target_00187	CDS	195				hypothetical protein
target_00188	gene	768	mtnN			
target_00188	CDS	768	mtnN	3.2.2.9	COG0775	5'-methylthioadenosine/S-adenosylhomocysteine nucleosidase
target_00189	gene	2286	ctpA			
target_00189	CDS	2286	ctpA	7.2.2.8	COG2217	Copper-exporting P-type ATPase
target_00190	gene	711				
target_00190	CDS	711			COG5660	putative protein
target_00191	gene	366				
target_00191	CDS	366				putative protein
target_00192	gene	1392				
target_00192	CDS	1392				hypothetical protein
target_00193	gene	870				
target_00193	CDS	870		1.-.-.-	COG2175	Putative dioxygenase
target_00194	gene	552				
target_00194	CDS	552				putative protein
target_00195	gene	1599				
target_00195	CDS	1599		6.2.1.-	COG0318	Putative fatty-acid--CoA ligase FadD10
target_00196	gene	249				
target_00196	CDS	249				putative protein
target_00197	gene	7539	dltA			
target_00197	CDS	7539	dltA	6.2.1.54		D-alanine--D-alanyl carrier protein ligase
target_00198	gene	1923				
target_00198	CDS	1923			COG3336	putative protein
target_00199	gene	2259	ctpB			
target_00199	CDS	2259	ctpB	3.6.3.-	COG2217	Cation-transporting P-type ATPase B
target_00200	gene	1515				
target_00200	CDS	1515				hypothetical protein
target_00201	gene	285				
target_00201	CDS	285				hypothetical protein
target_00202	gene	1197				
target_00202	CDS	1197			COG0523	putative protein
target_00203	gene	4878	ctpI_1			
target_00203	CDS	4878	ctpI_1	3.6.3.-	COG0474	putative cation-transporting ATPase I
target_00204	gene	243				
target_00204	CDS	243				hypothetical protein
target_00205	gene	1491				
target_00205	CDS	1491				hypothetical protein
target_00206	gene	519	glpG			
target_00206	CDS	519	glpG	3.4.21.105		Rhomboid protease GlpG
target_00207	gene	234				
target_00207	CDS	234				hypothetical protein
target_00208	gene	2058				
target_00208	CDS	2058				hypothetical protein
target_00209	gene	957	rmd			
target_00209	CDS	957	rmd	1.1.1.281		GDP-6-deoxy-D-mannose reductase
target_00210	gene	624	gmhA			
target_00210	CDS	624	gmhA	5.3.1.28	COG0279	Phosphoheptose isomerase
target_00211	gene	573	hisB_1			
target_00211	CDS	573	hisB_1	3.1.3.15		Histidine biosynthesis bifunctional protein HisB
target_00212	gene	1161	hddA			
target_00212	CDS	1161	hddA	2.7.1.168		D-glycero-alpha-D-manno-heptose 7-phosphate kinase
target_00213	gene	189				
target_00213	CDS	189				hypothetical protein
target_00214	gene	756	ldtA			
target_00214	CDS	756	ldtA	2.3.2.-	COG1376	L,D-transpeptidase 1
target_00215	gene	945	oxyR			
target_00215	CDS	945	oxyR			putative hydrogen peroxide-inducible genes activator
target_00216	gene	1749	oxc			
target_00216	CDS	1749	oxc	4.1.1.8	COG0028	Oxalyl-CoA decarboxylase
target_00217	gene	1629	sauT			
target_00217	CDS	1629	sauT	6.2.1.-	COG0318	putative sulfoacetate--CoA ligase
target_00218	gene	2145				
target_00218	CDS	2145			COG0480	Elongation factor G-like protein
target_00219	gene	435				
target_00219	CDS	435				hypothetical protein
target_00220	gene	183				
target_00220	CDS	183				hypothetical protein
target_00221	gene	369				
target_00221	CDS	369				hypothetical protein
target_00222	gene	1578				
target_00222	CDS	1578				hypothetical protein
target_00223	gene	1068				
target_00223	CDS	1068				hypothetical protein
target_00224	gene	1806	treS			
target_00224	CDS	1806	treS	3.2.1.1	COG0366	Trehalose synthase/amylase TreS
target_00225	gene	1368	mak			
target_00225	CDS	1368	mak	2.7.1.175		Maltokinase
target_00226	gene	780				
target_00226	CDS	780				hypothetical protein
target_00227	gene	1023	fbpC			
target_00227	CDS	1023	fbpC	2.3.1.122	COG0627	Diacylglycerol acyltransferase/mycolyltransferase Ag85C
target_00228	gene	456				
target_00228	CDS	456		4.2.1.17	COG2030	putative enoyl-CoA hydratase 1
target_00229	gene	1344	bbsG			
target_00229	CDS	1344	bbsG	1.3.8.3		(R)-benzylsuccinyl-CoA dehydrogenase
target_00230	gene	1083	fgd2			
target_00230	CDS	1083	fgd2	1.1.98.-	COG2141	F420-dependent hydroxymycolic acid dehydrogenase
target_00231	gene	606				
target_00231	CDS	606				hypothetical protein
target_00232	gene	903				
target_00232	CDS	903		3.3.2.10		Soluble epoxide hydrolase
target_00233	gene	606				
target_00233	CDS	606				hypothetical protein
target_00234	gene	1326				
target_00234	CDS	1326		1.14.-.-	COG2124	Putative cytochrome P450 138
target_00235	gene	549	msrA			
target_00235	CDS	549	msrA	1.8.4.11	COG0225	Peptide methionine sulfoxide reductase MsrA
target_00236	gene	504				
target_00236	CDS	504				hypothetical protein
target_00237	gene	1023	auaH			
target_00237	CDS	1023	auaH	1.1.1.394		Aurachin B dehydrogenase
target_00238	gene	381				
target_00238	CDS	381				hypothetical protein
target_00239	gene	411				
target_00239	CDS	411				hypothetical protein
target_00240	gene	927				
target_00240	CDS	927				hypothetical protein
target_00241	gene	1479	clcB			
target_00241	CDS	1479	clcB			Voltage-gated ClC-type chloride channel ClcB
target_00242	gene	843				
target_00242	CDS	843				hypothetical protein
target_00243	gene	744				
target_00243	CDS	744		2.1.1.-	COG3315	Putative S-adenosyl-L-methionine-dependent methyltransferase
target_00244	gene	231				
target_00244	CDS	231		2.1.1.-	COG3315	Putative S-adenosyl-L-methionine-dependent methyltransferase
target_00245	gene	933				
target_00245	CDS	933		2.1.1.-	COG3315	Putative S-adenosyl-L-methionine-dependent methyltransferase
target_00246	gene	1521	aldH1			
target_00246	CDS	1521	aldH1	1.2.1.-	COG1012	4,4'-diaponeurosporen-aldehyde dehydrogenase
target_00247	gene	861				
target_00247	CDS	861		1.1.1.-	COG1028	Putative short-chain type dehydrogenase/reductase
target_00248	gene	969				
target_00248	CDS	969		1.3.1.103		2-haloacrylate reductase
target_00249	gene	288				
target_00249	CDS	288				hypothetical protein
target_00250	gene	1767				
target_00250	CDS	1767				hypothetical protein
target_00251	gene	1473				
target_00251	CDS	1473				hypothetical protein
target_00252	gene	225				
target_00252	CDS	225				putative PE-PGRS family protein PE_PGRS24
target_00253	gene	831				
target_00253	CDS	831				hypothetical protein
target_00254	gene	1212	caiA_1			
target_00254	CDS	1212	caiA_1	1.3.8.13		Crotonobetainyl-CoA reductase
target_00255	gene	1101	pntAA			
target_00255	CDS	1101	pntAA	7.1.1.1	COG3288	NAD(P) transhydrogenase subunit alpha part 1
target_00256	gene	333				
target_00256	CDS	333				hypothetical protein
target_00257	gene	1428	pntB			
target_00257	CDS	1428	pntB	7.1.1.1	COG1282	NAD(P) transhydrogenase subunit beta
target_00258	gene	126				
target_00258	CDS	126				hypothetical protein
target_00259	gene	645	kstR2_1			
target_00259	CDS	645	kstR2_1			HTH-type transcriptional repressor KstR2
target_00260	gene	1407	PE3_1			
target_00260	CDS	1407	PE3_1			PE family protein PE3
target_00261	gene	1509	PE3_2			
target_00261	CDS	1509	PE3_2			PE family protein PE3
target_00262	gene	1374				
target_00262	CDS	1374		1.-.-.-	COG0277	putative FAD-linked oxidoreductase
target_00263	gene	1119	adhB_1			
target_00263	CDS	1119	adhB_1	1.1.1.1	COG1062	Alcohol dehydrogenase B
target_00264	gene	456				
target_00264	CDS	456				hypothetical protein
target_00265	gene	441				
target_00265	CDS	441				hypothetical protein
target_00266	gene	795				
target_00266	CDS	795				hypothetical protein
target_00267	gene	1665				
target_00267	CDS	1665		6.2.1.3	COG0318	Long-chain-fatty-acid--CoA ligase FadD13
target_00268	gene	798				
target_00268	CDS	798				hypothetical protein
target_00269	gene	870				
target_00269	CDS	870				hypothetical protein
target_00270	gene	1365				
target_00270	CDS	1365				hypothetical protein
target_00271	gene	1041				
target_00271	CDS	1041				hypothetical protein
target_00272	gene	1548				
target_00272	CDS	1548				hypothetical protein
target_00273	gene	1593				
target_00273	CDS	1593				hypothetical protein
target_00274	gene	1173	lprN_1			
target_00274	CDS	1173	lprN_1			Lipoprotein LprN
target_00275	gene	1548				
target_00275	CDS	1548				hypothetical protein
target_00276	gene	708				
target_00276	CDS	708				hypothetical protein
target_00277	gene	969				
target_00277	CDS	969				hypothetical protein
target_00278	gene	555				
target_00278	CDS	555				hypothetical protein
target_00279	gene	735				
target_00279	CDS	735				hypothetical protein
target_00280	gene	1110				
target_00280	CDS	1110				hypothetical protein
target_00281	gene	1359				
target_00281	CDS	1359				hypothetical protein
target_00282	gene	735				
target_00282	CDS	735		1.13.11.24	COG1741	Putative quercetin 2,3-dioxygenase
target_00283	gene	999	sigG			
target_00283	CDS	999	sigG		COG1595	ECF RNA polymerase sigma factor SigG
target_00284	gene	897				
target_00284	CDS	897		3.1.1.23	COG2267	Monoacylglycerol lipase
target_00285	gene	750				
target_00285	CDS	750				hypothetical protein
target_00286	gene	510				
target_00286	CDS	510				hypothetical protein
target_00287	gene	2076	bglB			
target_00287	CDS	2076	bglB	3.2.1.21	COG1472	Thermostable beta-glucosidase B
target_00288	gene	147	mymT			
target_00288	CDS	147	mymT			Metallothionein
target_00289	gene	657				
target_00289	CDS	657		2.1.1.6	COG4122	Catechol O-methyltransferase
target_00290	gene	432				
target_00290	CDS	432				hypothetical protein
target_00291	gene	1728	ilvD			
target_00291	CDS	1728	ilvD	4.2.1.9	COG0129	Dihydroxy-acid dehydratase
target_00292	gene	291	ricR			
target_00292	CDS	291	ricR		COG1937	Copper-sensing transcriptional repressor RicR
target_00293	gene	1242				
target_00293	CDS	1242			COG2814	Chloramphenicol efflux pump
target_00294	gene	303				
target_00294	CDS	303				hypothetical protein
target_00295	gene	765				
target_00295	CDS	765		2.3.2.-	COG1376	L,D-transpeptidase 4
target_00296	gene	1848				
target_00296	CDS	1848				hypothetical protein
target_00297	gene	120				
target_00297	CDS	120				hypothetical protein
target_00298	gene	3585				
target_00298	CDS	3585		3.6.3.-	COG1132	Multidrug efflux ATP-binding/permease protein
target_00299	gene	768				
target_00299	CDS	768				hypothetical protein
target_00300	gene	585				
target_00300	CDS	585			COG1309	putative HTH-type transcriptional regulator
target_00301	gene	2247	napA			
target_00301	CDS	2247	napA	1.9.6.1		Periplasmic nitrate reductase
target_00302	gene	1992	pepO			
target_00302	CDS	1992	pepO	3.4.24.-	COG3590	Neutral endopeptidase
target_00303	gene	660				
target_00303	CDS	660				hypothetical protein
target_00304	gene	690				
target_00304	CDS	690				hypothetical protein
target_00305	gene	504				
target_00305	CDS	504				hypothetical protein
target_00306	gene	2898				
target_00306	CDS	2898			COG2409	Heme uptake protein MmpL11
target_00307	gene	411				
target_00307	CDS	411				Heme-binding protein
target_00308	gene	1284				
target_00308	CDS	1284				hypothetical protein
target_00309	gene	1104				
target_00309	CDS	1104			COG0628	Putative transport protein
target_00310	gene	2835	mmpL3_1			
target_00310	CDS	2835	mmpL3_1		COG2409	Trehalose monomycolate exporter MmpL3
target_00311	gene	735				
target_00311	CDS	735				hypothetical protein
target_00312	gene	594	trmB			
target_00312	CDS	594	trmB	2.1.1.33	COG0220	tRNA (guanine-N(7)-)-methyltransferase
target_00313	gene	1086				
target_00313	CDS	1086				hypothetical protein
target_00314	gene	1479				
target_00314	CDS	1479				hypothetical protein
target_00315	gene	1821	pckG			
target_00315	CDS	1821	pckG	4.1.1.32	COG1274	Phosphoenolpyruvate carboxykinase [GTP]
target_00316	gene	972	nadR			
target_00316	CDS	972	nadR		COG1056	Trifunctional NAD biosynthesis/regulator protein NadR
target_00317	gene	1317				
target_00317	CDS	1317				hypothetical protein
target_00318	gene	1518				
target_00318	CDS	1518		6.2.1.3	COG0318	Long-chain-fatty-acid--CoA ligase FadD13
